t,usb0,mac,carrier,host_txp,host_rxp,ping15,ping82,http22,status8080
14:38:02,1,36:f7:e9:0c:86:ad,1,827,143,N,N,N,N
14:38:06,1,36:f7:e9:0c:86:ad,1,835,143,N,N,N,N
14:38:10,1,36:f7:e9:0c:86:ad,1,840,143,N,N,N,N
14:38:14,1,36:f7:e9:0c:86:ad,1,847,143,N,N,N,N
14:38:18,1,36:f7:e9:0c:86:ad,1,852,143,N,N,N,N
14:38:22,1,36:f7:e9:0c:86:ad,1,859,143,N,N,N,N
14:38:26,1,36:f7:e9:0c:86:ad,1,864,143,N,N,N,N
14:38:30,1,36:f7:e9:0c:86:ad,1,871,143,N,N,N,N
14:38:34,1,36:f7:e9:0c:86:ad,1,876,143,N,N,N,N
14:38:38,1,36:f7:e9:0c:86:ad,1,883,143,N,N,N,N
14:38:42,1,36:f7:e9:0c:86:ad,1,888,143,N,N,N,N
14:38:46,1,36:f7:e9:0c:86:ad,1,895,143,N,N,N,N
14:38:50,1,36:f7:e9:0c:86:ad,1,900,144,N,N,N,N
14:38:54,1,36:f7:e9:0c:86:ad,1,907,144,N,N,N,N
14:38:58,1,36:f7:e9:0c:86:ad,1,912,144,N,N,N,N
14:39:02,1,36:f7:e9:0c:86:ad,1,919,144,N,N,N,N
14:39:06,1,36:f7:e9:0c:86:ad,1,924,144,N,N,N,N
14:39:10,1,36:f7:e9:0c:86:ad,1,931,144,N,N,N,N
14:39:14,1,36:f7:e9:0c:86:ad,1,936,144,N,N,N,N
14:39:18,1,36:f7:e9:0c:86:ad,1,943,144,N,N,N,N
14:39:22,1,36:f7:e9:0c:86:ad,1,948,144,N,N,N,N
14:39:26,1,36:f7:e9:0c:86:ad,1,955,144,N,N,N,N
14:39:30,1,36:f7:e9:0c:86:ad,1,960,144,N,N,N,N
14:39:34,1,36:f7:e9:0c:86:ad,1,967,144,N,N,N,N
14:39:38,1,36:f7:e9:0c:86:ad,1,972,144,N,N,N,N
14:39:43,1,36:f7:e9:0c:86:ad,1,979,144,N,N,N,N
14:39:47,1,36:f7:e9:0c:86:ad,1,984,144,N,N,N,N
14:39:51,1,36:f7:e9:0c:86:ad,1,991,144,N,N,N,N
14:39:55,1,36:f7:e9:0c:86:ad,1,996,144,N,N,N,N
14:39:59,1,36:f7:e9:0c:86:ad,1,1003,144,N,N,N,N
14:40:03,1,36:f7:e9:0c:86:ad,1,1008,144,N,N,N,N
14:40:07,1,36:f7:e9:0c:86:ad,1,1015,144,N,N,N,N
14:40:11,1,36:f7:e9:0c:86:ad,1,1020,144,N,N,N,N
14:40:15,1,36:f7:e9:0c:86:ad,1,1027,144,N,N,N,N
14:40:19,1,36:f7:e9:0c:86:ad,1,1032,144,N,N,N,N
14:40:23,1,36:f7:e9:0c:86:ad,1,1039,144,N,N,N,N
14:40:27,1,36:f7:e9:0c:86:ad,1,1044,144,N,N,N,N
14:40:31,1,36:f7:e9:0c:86:ad,1,1051,144,N,N,N,N
14:40:35,1,36:f7:e9:0c:86:ad,1,1056,144,N,N,N,N
14:40:39,1,36:f7:e9:0c:86:ad,1,1063,144,N,N,N,N
14:40:43,1,36:f7:e9:0c:86:ad,1,1068,144,N,N,N,N
14:40:47,1,36:f7:e9:0c:86:ad,1,1075,144,N,N,N,N
14:40:51,1,36:f7:e9:0c:86:ad,1,1080,144,N,N,N,N
14:40:55,1,36:f7:e9:0c:86:ad,1,1087,144,N,N,N,N
14:40:59,1,36:f7:e9:0c:86:ad,1,1092,144,N,N,N,N
14:41:03,1,36:f7:e9:0c:86:ad,1,1099,144,N,N,N,N
14:41:08,1,36:f7:e9:0c:86:ad,1,1104,144,N,N,N,N
14:41:12,1,36:f7:e9:0c:86:ad,1,1111,144,N,N,N,N
14:41:16,1,36:f7:e9:0c:86:ad,1,1116,144,N,N,N,N
14:41:20,1,36:f7:e9:0c:86:ad,1,1123,144,N,N,N,N
14:41:24,1,36:f7:e9:0c:86:ad,1,1128,144,N,N,N,N
14:41:28,1,36:f7:e9:0c:86:ad,1,1135,144,N,N,N,N
14:41:32,1,36:f7:e9:0c:86:ad,1,1140,144,N,N,N,N
14:41:36,1,36:f7:e9:0c:86:ad,1,1147,144,N,N,N,N
14:41:40,1,36:f7:e9:0c:86:ad,1,1152,144,N,N,N,N
14:41:44,1,36:f7:e9:0c:86:ad,1,1159,144,N,N,N,N
14:41:48,1,36:f7:e9:0c:86:ad,1,1164,144,N,N,N,N
14:41:52,1,36:f7:e9:0c:86:ad,1,1171,144,N,N,N,N
14:41:56,1,36:f7:e9:0c:86:ad,1,1176,144,N,N,N,N
14:42:00,1,36:f7:e9:0c:86:ad,1,1183,144,N,N,N,N
14:42:04,1,36:f7:e9:0c:86:ad,1,1188,144,N,N,N,N
14:42:08,1,36:f7:e9:0c:86:ad,1,1195,144,N,N,N,N
14:42:12,1,36:f7:e9:0c:86:ad,1,1200,144,N,N,N,N
14:42:16,1,36:f7:e9:0c:86:ad,1,1207,144,N,N,N,N
14:42:20,1,36:f7:e9:0c:86:ad,1,1212,144,N,N,N,N
14:42:24,1,36:f7:e9:0c:86:ad,1,1219,144,N,N,N,N
14:42:28,1,36:f7:e9:0c:86:ad,1,1224,144,N,N,N,N
14:42:32,1,36:f7:e9:0c:86:ad,1,1230,144,N,N,N,N
14:42:36,1,36:f7:e9:0c:86:ad,1,1236,144,N,N,N,N
14:42:40,1,36:f7:e9:0c:86:ad,1,1242,144,N,N,N,N
14:42:45,1,36:f7:e9:0c:86:ad,1,1248,144,N,N,N,N
14:42:49,1,36:f7:e9:0c:86:ad,1,1255,144,N,N,N,N
14:42:53,1,36:f7:e9:0c:86:ad,1,1260,144,N,N,N,N
14:42:57,1,36:f7:e9:0c:86:ad,1,1267,144,N,N,N,N
14:43:01,1,36:f7:e9:0c:86:ad,1,1272,144,N,N,N,N
14:43:05,1,36:f7:e9:0c:86:ad,1,1279,144,N,N,N,N
14:43:09,1,36:f7:e9:0c:86:ad,1,1284,144,N,N,N,N
14:43:13,1,36:f7:e9:0c:86:ad,1,1290,144,N,N,N,N
14:43:17,1,36:f7:e9:0c:86:ad,1,1296,144,N,N,N,N
14:43:21,1,36:f7:e9:0c:86:ad,1,1302,144,N,N,N,N
14:43:25,1,36:f7:e9:0c:86:ad,1,1308,144,N,N,N,N
14:43:29,1,36:f7:e9:0c:86:ad,1,1314,144,N,N,N,N
14:43:33,1,36:f7:e9:0c:86:ad,1,1320,144,N,N,N,N
14:43:37,1,36:f7:e9:0c:86:ad,1,1326,144,N,N,N,N
14:43:41,1,36:f7:e9:0c:86:ad,1,1332,144,N,N,N,N
14:43:45,1,36:f7:e9:0c:86:ad,1,1338,144,N,N,N,N
14:43:49,1,36:f7:e9:0c:86:ad,1,1344,144,N,N,N,N
